,Absolute Magnitude,avg_dia,Relative Velocity km per hr,Miss Dist.(kilometers),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion
3851,24.9,0.04503421705,17775.359416844,33405930.0,6,0.0187586,5.781,2458000.5,0.1253407575569182,1.063451456488757,8.15864795991664,206.5499406243045,400.5667828872016,0.9301576453074484,101.397989797507,1.196745267670066,2458078.7812064467,289.6466019529579,0.8987265429379723
3852,25.4,0.035771950149999995,42067.0258081661,1668666.0,7,0.00625571,3.657,2458000.5,0.544636870167244,1.982355988190669,4.143707779225796,350.8494929426966,1019.461659957994,0.9026918272252088,227.3491633723879,3.06202014915613,2457783.7044408573,76.55648501245354,0.3531275516676455
3853,25.3,0.0374578302,44316.6141372674,9841651.0,9,0.0496258,3.215,2456726.5,0.604676172573472,2.437789425880164,7.730119826886951,161.3368700399433,1390.249380599767,0.9637162462988648,50.05378826463745,3.911862605461462,2456759.272517229,351.5136763467615,0.2589463480607289
3854,25.1,0.0410716941,45111.4268778698,21818060.0,9,0.143223,4.773,2456741.5,0.2620930555403627,1.346198142388055,22.45609827771159,3.861196946544074,570.5082214145309,0.9933689578868092,107.249758931778,1.6990273268893,2456669.4158618567,45.48626778261683,0.6310163227926986
3855,27.7,0.012403453299999999,60128.7546411014,52058220.0,7,0.0171873,4.334,2458000.5,0.3725764331250856,1.561573460406078,9.672530319651074,145.8925763285448,712.757926787928,0.9797679904651846,334.5363906151309,2.143378930346972,2458125.056982582,297.0887196840674,0.5050803175523482
3856,20.8,0.29753812155,34047.290727264,57982904.0,0,0.094165,4.922,2458000.5,0.2471099477053988,1.304309794451401,16.11148979064995,0.982586608782442,544.0885169612609,0.9820018693528756,67.15967841494086,1.626617719549926,2458235.2841463,204.6534156981282,0.6616570443548472
3857,18.8,0.7473819704,75772.4774379127,65855244.0,0,0.301821,3.31,2458000.5,0.5328754589585732,2.132095921304537,36.58268997490882,332.1085892341126,1137.125859305466,0.9959543286956798,278.375553993747,3.268237513913394,2457938.8845291026,19.50669694257011,0.3165876468765568
3858,20.9,0.28414670015,30770.1860428988,38354480.0,0,0.112016,5.167,2458000.5,0.1613032917807446,1.226094158769174,15.6285748814065,6.791330809571434,495.8886429301609,1.028321134926564,67.62399607592471,1.423867182611785,2458103.224295914,285.4253005053419,0.7259694391724576
3859,20.6,0.3262440628,101076.8982527556,61800220.0,1,0.028236,3.878,2458000.5,0.5792062759820261,1.77809404192053,2.886719510348122,127.6874264210626,866.0251749606872,0.7482108135539111,141.1947902886013,2.807977270287149,2457642.7778365863,148.7023501766954,0.4156923036519603
3860,26.1,0.025914487049999997,38602.3070882606,17705760.0,7,0.0158778,4.308,2458000.5,0.3815180314579437,1.57966072372747,5.716963325520387,2.335566792171353,725.1772264696898,0.9769916740395352,214.1459560084404,2.182329773415405,2458213.3822384346,254.318791270356,0.496430371583169
